Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
Housefull 4,FIP,904808315,0,Oct 25  2019  Nov 21  2019,2 hr 25 min,Action,315 theaters
Shoplifters,Magnolia Pictures,892645,0,Nov 23  2018  May 2  2019,2 hr 1 min,Crime,144 theaters
The Wizard of Oz,Fathom Events,1195606681,2777000,Jan 27  2019  Feb 7  2019,1 hr 42 min,Adventure,681 theaters
Luce,Neon,1329875,0,Aug 2  2019,1 hr 49 min,Drama,235 theaters
Chhichhore,FIP,614335195,0,Sep 6  2019  Oct 10  2019,2 hr 23 min,Comedy,195 theaters
Official Secrets,IFC Films,649654,0,Aug 30  2019,1 hr 52 min,Biography,485 theaters
Better Days,Well Go USA Entertainment,98953670,0,Nov 8  2019,2 hr 15 min,Crime,88 theaters
Badla,Reliance Big Pictures,59644650,0,Mar 8  2019  Mar 31  2019,1 hr 58 min,Crime,115 theaters
The White Crow,Sony Pictures Classics,787825,0,Apr 26  2019,2 hr 7 min,Biography,365 theaters
Ben Is Back,Roadside Attractions,807344,0,Dec 7  2018  Feb 21  2019,1 hr 43 min,Drama,598 theaters
Pandas,Warner Bros.,15891533,0,Apr 6  2018  Jul 15  2018,42 min,Documentary,35 theaters
The Other Side of Heaven 2: Fire of Faith,ArtAffects Entertainment,454257205,0,Jun 28  2019,1 hr 57 min,Adventure,205 theaters
Ip Man 4: The Finale,Well Go USA Entertainment,73771870,0,Dec 25  2019,1 hr 47 min,Action,125 theaters
Wild Rose,Neon,529384,0,Jun 21  2019,1 hr 41 min,Comedy,195 theaters
The Aftermath,Fox Searchlight Pictures,564195,0,Mar 15  2019  May 2  2019,1 hr 48 min,Drama,344 theaters
Made for More,Fathom Events,0,0,Aug 2  2018  Jan 9  2019,2 hr,Documentary,703 theaters
Red Joan,IFC Films,389494,0,Apr 19  2019  Jul 4  2019,1 hr 41 min,Biography,195 theaters
After the Wedding,Sony Pictures Classics,502645,0,Aug 9  2019,1 hr 52 min,Drama,428 theaters
Extreme Job,CJ Entertainment,425872,0,Jan 25  2019  Apr 4  2019,1 hr 51 min,Action,26 theaters
Waves,A24,1343334,0,Nov 15  2019,2 hr 15 min,Drama,570 theaters
Qué León,Spanglish Movies,29193634,0,Nov 29  2018  Mar 17  2019,1 hr 33 min,Comedy,86 theaters
Capernaum,Sony Pictures Classics,249883,0,Dec 14  2018  May 30  2019,2 hr 6 min,Drama,136 theaters
The Kid,Lionsgate,514286268,0,Mar 8  2019  Apr 18  2019,1 hr 40 min,Biography,268 theaters
Kinky Boots: The Musical,Fathom Events,386612455,0,Jun 25  2019  Jun 29  2019,2 hr 15 min,Musical,492 theaters
Destroyer,Annapurna Pictures,553473,0,Dec 25  2018  Mar 21  2019,2 hr 1 min,Action,235 theaters
The Wife,Sony Pictures Classics,1082844,0,Aug 17  2018  Apr 18  2019,1 hr 39 min,Drama,541 theaters
El Chicano,Briarcliff Entertainment,700261605,0,May 3  2019  May 23  2019,1 hr 48 min,Drama,605 theaters
